序号	程序名称	文件名称	描述	能否删	说明
1	Airkan Phone 1.3.3	AirkanPhoneService.apk	根据百度知道小米企业平台回答，是多看阅读服务组件，也有网友说是小米盒子组件	可删	删除失去对应功能
2	Android 动态壁纸 4.1.1-2.12.28	LiveWallpapes.apk	动态壁纸	可删	删除失去对应功能
3	Android 键盘（AOSP）4.1.1-2.12.28	LatinIME.apk	安卓自带输入法	可删	删除无影响
4	Black Hole 1.0	Galaxy4.apk	黑洞动态壁纸，文件名是图库，很扯淡	可删	删除失去对应功能
5	Bubbles 1.0	NoiseField.apk	泡泡动态壁纸，点菜单键-“修改壁纸”中可以看到	可删	删除失去对应功能
6	Certificate Installer 4.1.1-2.12.28	CerInstaller.apk	证书安装器，国内无用	可删	删除无影响
7	com.android.backu.nfirm 4.1.1-2.12.28	BackupRestoreComfirmation.apk	备份还原确认，对应设置中“备份与重置”	可删	删除备份后这个可删除
8	com.android.provision 4.1.1-2.12.28	provision.apk	第一次开机设置向导，删除后刷系统双WIPE的时候，进系统没有锁屏	建议保留	删除失去对应功能
9	com.android.shared.ckup 4.1.1-2.12.28	SharedStorageBackup.apk	共享数据备份服务	可删	删除失去对应功能
10	com.android.smspush 4.1.1-2.12.28	WAPPushManager.apk	Wap推送服务	可删	删除失去对应功能
11	com.android.wallpa.spiral 4.1.1-2.12.28	HoloSpiralWallpaper.apk	光环螺旋动态壁纸	可删	删除失去对应功能
12	com.qualcomm.privi..20121002.144541	Privlnit.apk	系统程序，作用不明，删除不会奔溃，个别程序出错	建议保留	删了暂时没发现问题
13	com.qualcomm.tim.rvice..4.1.1-2.12.28	TimeService.apk	系统程序，貌似是网络时间同步	建议保留	删除失去对应功能
14	Content Adaptive Backlight Settings 1.0	CABLService.apk	传感器服务相关	建议保留	删除失去对应功能
15	DataHub Provider 4.1.1-2.12.28	DataHubProvider.apk	数据中心供应商，与外挂U盘有关	可删	删除无影响
16	Dolby Mobile Audio.rvice 4.1.1-2.12.28	DolbyMobileAudioEffectService.apk	杜比音效	建议保留	删除失去对应功能
17	Exchange服务 5.0	Exchange2.apk	Exchange邮箱服务，没人用	可删	可用第三方代替
18	Google书签同步4.1.2-485486	ChromeBookmarksSyncAdapter.apk	Google书签同步，不用Google服务的可删	可删	删除失去对应功能
19	Google合作伙伴设置4.1.2-485486	GooglePartnerSetup.apk	Google合作伙伴设置,不用Google服务的可删	可删	删除无影响
20	Google账户管理程序4.1.2-485486	GoogleLoginService.apk	Google账户管理程序,不用Google服务的可删	可删	删除不能使用Google账户
21	Google日历同步4.1.2-485486	ChromeCalendarSyncAdapter.apk	Google日历同步，不用Google服务的可删	可删	删除失去对应功能
22	Google服务框架4.1.2-485486	GoogleServicesFramework.apk	Google服务框架，不用Google服务的可删	可删	删除无影响
23	Google通讯录同步4.1.2-485486	ChromeContactsSyncAdapter.apk	Google通讯录同步，不用Google服务的可删	可删	删除失去对应功能
24	GPStestSvc 4.1.1-2.12.28	GPStestSvc.apk	GPS测试服务	建议保留	　
25	Input Devices 4.1.1-2.12.28	InputDevices.apk	输入设备	可删	删除无影响
